,category,expiration_date,name,price,product_id,production_date,quantity,rating,status,normalized_price
0,Молочные продукты,2009-01-01,Сметана,4087,1,2006-03-09,596,2.86,Returned,0.0009337526805121909
1,Бакалея,2017-05-05,Сода пищевая,9746,2,1991-01-02,553,2.1,Delivered,0.0022266585819113805
2,Товары для дома,2008-03-02,Туалетная бумага,9672,3,1992-02-20,995,0.21,Awaiting Review,0.002209751878129168
3,Мясо,2030-01-16,Чоризо,7468,4,2017-04-04,563,4.83,Delivered,0.0017062062681832742
4,Бакалея,2030-01-01,Конопляные семена,4284,5,2008-01-04,56,3.44,Out of Stock,0.0009787610676080807
5,Овощи,2023-01-07,Цукини,1792,6,1993-03-09,844,0.32,Sold,0.0004094163942935762
6,Напитки,2015-02-07,Кубай,477,7,2015-01-27,180,4.6,Awaiting Review,0.00010897969870426109
7,Товары для дома,2029-02-04,Салфетки сухие,9841,8,2005-01-11,342,1.21,Refunded,0.002248363134064221
8,Напитки,2013-01-01,Феодосийская,9909,9,2012-02-03,967,4.76,Shipping,0.002263899024026254
9,Мясо,2026-04-04,Буррито с мясом,1096,10,2018-03-04,362,3.48,Out of Stock,0.0002504019911527676
10,Товары для дома,2028-01-11,Швабра,2924,11,2006-01-28,897,1.82,Pending,0.0006680432683674202
11,Товары для дома,2017-02-04,Пакеты для школы,2354,12,2005-10-14,91,2.26,Shipping,0.0005378159554503786
12,Молочные продукты,2029-02-09,Катык,6054,13,2008-09-01,723,3.55,Sold,0.0013831511445609992
13,Фрукты,2010-03-19,Черешня,4687,14,1997-06-10,81,2.58,In Stock,0.0010708340625301294
14,Мясо,1994-06-03,Шейка,2663,15,1992-05-20,393,1.17,On Backorder,0.0006084128671896169
15,Овощи,2013-02-24,Щавель,603,16,1999-02-02,598,1.01,Sold,0.00013776678892802815
16,Фрукты,2006-06-04,Фейхоа,6748,17,2001-05-06,764,0.85,Delivered,0.001541708609761748
